"","sound.files","selec","start","end"
"56","47704_44k.wav",1,24.25769619,25.63712356
"59","47704_44k.wav",2,8.222570464,9.585438804
"62","47704_44k.wav",3,50.065264,51.51663028
"92","50325_44k.wav",1,141.10451,142.8108798
"95","50325_44k.wav",2,33.33475322,35.10366732
"98","50325_44k.wav",3,54.25511248,55.97189017
"209","207265_44k.wav",4,73.18223328,74.62482547
"212","207265_44k.wav",6,145.3684243,146.5902567
"215","207265_44k.wav",7,82.66494573,83.83932689
"229","207281_44k.wav",1,22.05603917,23.64845849
"230","207281_44k.wav",2,2.967406193,4.869854055
"231","207281_44k.wav",3,12.46237562,14.31550076
"236","516709_44k.wav",1,75.35467985,77.08724434
"239","516709_44k.wav",2,54.60200166,56.35748367
"242","516709_44k.wav",3,62.77994013,64.53313038
"263","SRE01M03.wav",1,6.138322906,7.822074617
"265","SRE01M03.wav",2,14.59479558,16.20068594
"267","SRE01M03.wav",3,32.61213875,34.10123708
"272","SRE01M04_1.wav",2,57.67875304,59.03061047
"275","SRE01M04_1.wav",3,63.6678349,65.32796107
"278","SRE01M04_3.wav",1,8.586899112,10.11950939
"485","SRE08M11.wav",1,77.55423012,78.90285325
"488","SRE08M11.wav",2,96.36446345,97.8684977
"491","SRE08M11.wav",3,113.3709582,114.8732656
"503","SRE09M02.wav",1,100.641165,102.1930103
"506","SRE09M02.wav",7,40.79074632,41.46342756
"509","SRE09M02.wav",11,75.56208376,77.08160269
"548","SRE17M03_3.WAV.wav",1,247.4862068,249.0618662
"551","SRE17M03_3.WAV.wav",2,231.6964085,233.3843521
"554","SRE17M03_3.WAV.wav",3,203.8673666,205.4375039
"593","SRE18M01.WAV.wav",1,1.453666251,2.748163073
"596","SRE18M01.WAV.wav",2,6.546575399,7.613443118
"599","SRE18M01.WAV.wav",3,51.39775486,52.20135457
"702","SRE21M01_1.WAV.wav",3,39.61038011,41.14751085
"705","SRE21M01_1.WAV.wav",4,52.27149464,53.82623128
"714","SRE21M01_1.WAV.wav",5,59.43586067,60.9269452
"720","SRE21M02_1.WAV.wav",1,66.81001952,67.63794003
"723","SRE21M02_1.WAV.wav",2,74.68179348,75.72999956
"726","SRE21M02_2.WAV.wav",1,74.03303089,75.15222455
"840","SRE25M02_2.WAV.wav",3,12.34881279,14.04985072
"843","SRE25M02_2.WAV.wav",4,40.23172416,42.10156739
"846","SRE25M02_2.WAV.wav",5,49.63956257,51.08935204
"936","SRE28M04.WAV.wav",1,18.78372111,19.78377308
"939","SRE28M04.WAV.wav",2,51.0705279,52.03236726
"942","SRE28M04.WAV.wav",3,58.89022068,59.87349638
"981","SRE29M08_1.WAV.wav",1,18.53549795,20.05138098
"984","SRE29M08_1.WAV.wav",2,27.94457068,29.45592417
"987","SRE29M08_1.WAV.wav",3,147.7167502,149.3926767
"1044","SRE31M02_3.WAV.wav",1,1.903139672,3.302812666
"1047","SRE31M02_3.WAV.wav",2,10.62398722,12.21529901
"1050","SRE31M02_3.WAV.wav",3,23.62660034,25.03337107
"1080","SRF06M02_1.WAV.wav",3,15.64717927,16.04382357
"1083","SRF06M02_1.WAV.wav",4,45.59971307,46.67685608
"1086","SRF06M02_1.WAV.wav",7,1.715041892,2.975320932
"1107","SRF06M05.WAV.wav",1,379.534826,380.301205
"1110","SRF06M05.WAV.wav",2,280.6056231,281.6640142
"1113","SRF06M05.WAV.wav",5,274.5897707,275.3867778
"1116","SRF06M06_1.WAV.wav",1,184.7427453,186.2306648
"1119","SRF06M06_1.WAV.wav",2,194.3136017,195.767293
"1122","SRF06M06_1.WAV.wav",3,254.1145194,255.5722376
"1143","SRF07M03_1.WAV.wav",1,35.88685479,36.84927932
"1146","SRF07M03_1.WAV.wav",2,74.61976961,76.06261911
"1149","SRF07M03_2.WAV.wav",1,81.94302515,83.29000502
"1152","SRF08M01.WAV.wav",1,254.4393553,255.6147091
"1155","SRF08M01.WAV.wav",2,312.407327,313.5902151
"1158","SRF08M01.WAV.wav",3,572.7962367,574.2729633
"1161","SRF08M01_2 + SRF08M02.WAV.wav",2,129.725765,130.7428509
"1164","SRF08M01_2 + SRF08M02.WAV.wav",1,29.67834221,30.77345112
"1167","SRF08M01_2 + SRF08M02.WAV.wav",3,149.2861751,150.2628562
"1170","SRF08M03_2.WAV.wav",1,10.21699116,11.59966589
"1173","SRF08M03_1.WAV.wav",1,48.85712241,49.98413393
"1176","SRF08M03_1.WAV.wav",2,90.88811334,92.31599556
"1179","SRF08M03_3 + SRF08M04.WAV.wav",1,51.98481463,53.6735347
"1182","SRF08M03_3 + SRF08M04.WAV.wav",2,60.38232734,61.69091261
"1185","SRF08M03_3 + SRF08M04.WAV.wav",3,84.51915472,85.61578603
