"","sound.files","selec","start","end"
"2","10027_44k.wav",1,17.96716002,19.40301579
"5","10027_44k.wav",2,50.12292857,51.64905425
"8","10027_44k.wav",3,5.220152867,6.670113306
"11","10028_44k.wav",1,42.12672276,43.77000027
"14","10028_44k.wav",5,112.2069649,114.1534301
"17","10028_44k.wav",6,17.91619614,19.83840637
"20","10029_44k.wav",1,8.026506259,9.379105172
"23","10029_44k.wav",2,44.30945119,45.72024798
"26","10029_44k.wav",3,37.84755022,39.24229242
"29","10030_44k.wav",1,85.19873493,86.64374907
"32","10030_44k.wav",3,6.996967065,8.222458403
"35","10030_44k.wav",4,64.02762412,65.32238236
"38","22965_44k.wav",1,34.30602899,35.65941473
"41","22965_44k.wav",2,13.21959848,14.57018508
"44","22965_44k.wav",3,21.36443697,22.72482057
"47","47702_44k.wav",1,57.8586407,59.34189877
"50","47702_44k.wav",2,86.98684386,88.45345688
"53","47702_44k.wav",3,70.56226348,72.70600767
"65","47707_44k.wav",1,176.2823748,178.0200141
"68","47707_44k.wav",2,145.2360942,146.956217
"71","47707_44k.wav",3,185.3710934,187.1753534
"74","50312_44k.wav",1,46.45474325,47.79103739
"77","50312_44k.wav",2,122.3465269,123.6789862
"80","50312_44k.wav",4,102.186243,103.5783202
"83","50314_44k.wav",1,19.31143355,20.67165255
"86","50314_44k.wav",2,28.30064366,29.65236129
"89","50314_44k.wav",3,66.73421701,68.14544423
"101","51226_44k.wav",1,92.26296562,93.81740609
"104","51226_44k.wav",2,14.65656703,16.20932338
"107","51226_44k.wav",3,64.85361088,66.40973547
"109","51236_44k.wav",1,23.47829368,24.84353882
"113","51236_44k.wav",2,7.176489968,8.533440788
"116","51236_44k.wav",3,43.26154111,44.3845921
"119","51237_44k.wav",1,23.9134392,25.59706843
"122","51237_44k.wav",2,7.485919535,9.124676631
"125","51237_44k.wav",3,43.30709699,44.9780643
"128","51239_44k.wav",1,27.55130111,29.38000382
"131","51239_44k.wav",2,12.3169841,14.12810314
"134","51239_44k.wav",3,20.13802673,21.96513092
"137","62228_44k.wav",1,85.93121597,87.43762889
"140","62228_44k.wav",3,73.99785225,75.54991405
"143","62228_44k.wav",4,14.65110597,16.27077785
"146","111134_44k.wav",1,84.0571503,85.35761913
"149","111134_44k.wav",2,49.36759811,50.6699794
"152","111134_44k.wav",3,73.72535038,75.25302973
"155","118756_44k.wav",1,60.98742766,62.91360382
"158","118756_44k.wav",2,82.16735261,84.17139334
"161","118756_44k.wav",3,71.24178933,73.20336033
"164","130940_44k.wav",1,336.9155091,338.6516036
"167","130940_44k.wav",3,8.67060199,10.16212762
"170","130940_44k.wav",4,449.7537485,451.5208447
"173","195071_44k.wav",1,510.1647617,511.9178832
"176","195071_44k.wav",2,384.3829784,385.9421271
"179","195071_44k.wav",4,311.3555867,312.9610093
"182","195075_44k.wav",1,52.79823367,54.21738745
"185","195075_44k.wav",2,24.11862099,25.70473404
"188","195075_44k.wav",3,61.78788032,63.44008142
"191","195218_44k.wav",1,44.02488455,45.40150581
"194","195218_44k.wav",2,97.68448403,99.07264122
"197","195218_44k.wav",3,69.06571432,70.45771682
"200","204812_44k.wav",1,26.73218045,28.2463488
"203","204812_44k.wav",2,15.3970773,16.8665862
"206","204812_44k.wav",3,44.83120746,46.30601655
"218","207265_44k.wav",1,131.4349329,132.4732927
"221","207265_44k.wav",2,109.1983645,110.4053142
"224","207265_44k.wav",3,119.9845439,121.3773255
"245","516711_44k.wav",1,76.53927277,78.1659316
"248","516711_44k.wav",2,66.42344305,68.01164124
"251","516711_44k.wav",3,44.41135929,45.76653124
"254","SRE01M01_1.wav",1,86.02478031,87.69543673
"257","SRE01M01_1.wav",3,26.51355592,28.3591388
"260","SRE01M01_1.wav",6,12.40408357,14.12038809
"269","SRE01M04_1.wav",1,6.752614605,8.538593615
"281","SRE01M04_3.wav",2,46.00657608,47.57348617
"284","SRE01M04_3.wav",3,55.43584499,56.75248472
"287","SRE01M05.wav",1,39.02314426,40.46696662
"290","SRE01M05.wav",2,60.92887939,62.35951616
"293","SRE01M05.wav",3,88.25753778,89.71454574
"296","SRE01M06.wav",4,120.7921924,122.2753967
"299","SRE01M06.wav",3,105.3439955,106.6639442
"302","SRE01M06.wav",1,152.4641139,153.8693809
"305","SRE02M01_1.wav",1,78.93201842,80.82280826
"308","SRE02M01_1.wav",2,29.89580472,31.49868425
