"","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Agg.Entropy..bits.","Avg.Entropy..bits.","BW.90...Hz.","Center.Freq..Hz.","Delta.Time..s.","Freq.5...Hz.","Freq.95...Hz.","Max.Freq..Hz.","Begin.File","Begin.Path","Signal.Type","song.analyzed","num.notes","num.unique.notes","buzzy.or.clear","Song.ID.1","Source"
"1",1,"Waveform 1",1,17.96716002,19.40301579,3682.5,9089.1,NA,NA,NA,NA,1.436,NA,NA,NA,"10027_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10027_44k.wav","song","2",8,5,"clear","10027","Macauley Library"
"2",1,"Spectrogram 1",1,17.96716002,19.40301579,3682.5,9089.1,4.853,3.019,2584,6115.4,1.436,4995.7,7579.7,5081.8,"10027_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10027_44k.wav","song","2",8,5,"clear","10027","Macauley Library"
"3",1,"Selection Spectrum 1",1,17.96716002,19.40301579,3682.5,9089.1,4.859,4.859,2584,6115.4,1.436,4995.7,7579.7,6287.7,"10027_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10027_44k.wav","song","2",8,5,"clear","10027","Macauley Library"
"4",2,"Waveform 1",1,50.12292857,51.64905425,3879.1,9187.4,NA,NA,NA,NA,1.526,NA,NA,NA,"10027_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10027_44k.wav","song","3",8,5,"clear","10027","Macauley Library"
"5",2,"Spectrogram 1",1,50.12292857,51.64905425,3879.1,9187.4,4.651,2.868,2239.5,6029.3,1.526,5081.8,7321.3,5168,"10027_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10027_44k.wav","song","3",8,5,"clear","10027","Macauley Library"
"6",2,"Selection Spectrum 1",1,50.12292857,51.64905425,3879.1,9187.4,4.655,4.655,2239.5,6029.3,1.526,5081.8,7321.3,6287.7,"10027_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10027_44k.wav","song","3",8,5,"clear","10027","Macauley Library"
"7",3,"Waveform 1",1,5.220152867,6.670113306,3637.1,9142,NA,NA,NA,NA,1.45,NA,NA,NA,"10027_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10027_44k.wav","song","1",8,5,"clear","10027","Macauley Library"
"8",3,"Spectrogram 1",1,5.220152867,6.670113306,3637.1,9142,4.785,2.828,2153.3,6115.4,1.45,5168,7321.3,7321.3,"10027_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10027_44k.wav","song","1",8,5,"clear","10027","Macauley Library"
"9",3,"Selection Spectrum 1",1,5.220152867,6.670113306,3637.1,9142,4.791,4.791,2153.3,6115.4,1.45,5168,7321.3,6029.3,"10027_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10027_44k.wav","song","1",8,5,"clear","10027","Macauley Library"
"10",1,"Waveform 1",1,42.12672276,43.77000027,3507.1,6811.2,NA,NA,NA,NA,1.643,NA,NA,NA,"10028_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10028_44k.wav","song","4",18,4,"clear","10028","Macauley Library"
"11",1,"Spectrogram 1",1,42.12672276,43.77000027,3507.1,6811.2,4.726,2.462,2411.7,5254.1,1.643,4134.4,6546.1,6546.1,"10028_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10028_44k.wav","song","4",18,4,"clear","10028","Macauley Library"
"12",1,"Selection Spectrum 1",1,42.12672276,43.77000027,3507.1,6811.2,4.729,4.729,2411.7,5254.1,1.643,4134.4,6546.1,6460,"10028_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10028_44k.wav","song","4",18,4,"clear","10028","Macauley Library"
