,Record..,Day,Month,Year,Locality,GPS.coordinate.N,GPS.coordinate.W,Accuracy,Elevation..m.,Time,Species,Sex,Age,Breeding.,CP,BP,Bander.Initials,Band..,Color.band.code,Blood.Sample.Taken,Feather,Photos.Taken,Fat,Wing.Chord..mm.,Tail.Length..mm.,Tarsus.length..mm.,Weight,Plong.Slong,Exp.Culmen,Bill.length..mm.,Beak.depth,beak.width,Notes
1,RD11M04,11,4,2017,S UBC CAMPUS,NA,NA,NA,NA,9:30:00 AM,BCCH,M,ASY,Y,1,NA,MJO,2500-76420,NA,N,N,N,0,64,62,NA,NA,NA,NA,NA,NA,NA,SINGING - RESPONDED TO PB
2,RD11M05,11,4,2017,S UBC CAMPUS,NA,NA,NA,NA,10:00:00 AM,AUWA,M,AHY,Y,1,NA,MJO,2500-76421,NA,Y,N,N,0,77.5,58.5,18.4,NA,NA,NA,6.15,NA,NA,"VERY GOOD LOOKING AUWA; SINGING, GOOD RESPONSE TO PB; ONLY A TINY BIT OF BLOOD TAKEN"
3,RD11M06,11,4,2017,S UBC CAMPUS,NA,NA,NA,NA,10:30:00 AM,DEJU,F,ASY,Y,NA,NA,MJO,NA,NA,Y,N,N,4,69.5,62,21.9,NA,NA,NA,7.3,NA,NA,NOT BREEDING
4,RD11M07,11,4,2017,S UBC CAMPUS,NA,NA,NA,NA,10:35:00 AM,DEJU,U,SY,Y,0,NA,MJO,NA,NA,Y,N,N,NA,76.5,70.5,NA,NA,NA,NA,NA,NA,NA,NA
5,RD12M01,12,4,2017,PACIFIC SPIRIT PARK - NE AREA,NA,NA,NA,NA,10:00:00 AM,GCKI,M,ASY,Y,NA,NA,MJO,2680-83817,NA,Y,N,N,NA,52,39,19.17,NA,NA,NA,4.84,NA,NA,SINGING IN BAG; CAUGHT WITH PB
6,RD29M01,29,4,2017,PACIFIC SPIRIT PARK - N OF CHANCELLOR,NA,NA,NA,NA,7:23:00 AM,BTYW,M,AHY,Y,2,NA,MJO,2680-83818,NA,Y,N,Y,0,63,49,18.2,NA,NA,NA,7.4,NA,NA,CAUGHT WITH PB; DARREN'S CAMERA
7,RD29M02,29,4,2017,PACIFIC SPIRIT PARK - S OF CHANCELLOR,NA,NA,NA,NA,8:17:00 AM,BTYW,M,AHY,Y,0,NA,MJO,2680-83819,NA,Y,N,Y,0,62,50.5,18.7,NA,NA,NA,6.3,NA,NA,SINGING; CAUGHT WITH PB; BAND ON L ; BREEDING
8,RD29M03,29,4,2017,PACIFIC SPIRIT PARK - S OF CHANCELLOR,NA,NA,NA,NA,8:21:00 AM,BTYW,M,AHY,Y,0,NA,MJO,2680-83820,NA,Y,N,N,1,63,51,18.2,NA,NA,NA,7.1,NA,NA,CAUGHT IN SAME NET AS RD29M02; CAUGHT WITH PB; BREEDING
9,RD29M04,29,4,2017,PACIFIC SPIRIT PARK - S OF CHANCELLOR,NA,NA,NA,NA,9:30:00 AM,BTYW,M,AHY,Y,1,NA,MJO,2680-83821,NA,Y,N,Y,NA,62,50.5,17.75,NA,NA,NA,6.95,NA,NA,BAND ON L; CAUGHT WITH TOWA SIBLEY APP RECORDING
10,RE04M01,4,5,2017,PACIFIC SPIRIT PARK (SW OF 6TH),49.15248,123.13624,NA,93,9:15:00 AM,TOWA,M,AHY,Y,1,NA,MJO,2680-83822,-:Ra,Y,N,Y,0,65.5,51,17.8,NA,NA,NA,7.01,NA,NA,POSSIBLE ASY; CAUGHT WITH TUMBLE RIDGE-BUZZY SONG; DARREN'S CAMERA
11,RE06M01,6,5,2017,JORDAN RIVER,48.2625,124.04678,NA,99,8:00:00 AM,TOWA,M,SY,Y,2,NA,MJO,2680-83823,-:Ra,Y,N,Y,0,68.5,50,18.11,NA,NA,NA,7.33,NA,NA,NA
12,RE06M02,6,5,2017,JORDAN RIVER (OFF OF HIGHWAY 14),48.26475,124.06562,NA,145,9:30:00 AM,TOWA,M,SY,Y,1,NA,MJO,2680-83824,-:Ba,Y,N,Y,0,62.5,49,19.67,NA,NA,NA,7.08,NA,NA,ONLY A SMALL DROP OF BLOOD WAS ABLE TO BE TAKEN
13,RE06M03,6,5,2017,JORDAN RIVER (OFF OF HIGHWAY 14),48.26644,124.07075,NA,140,10:47:00 AM,TOWA,M,ASY,Y,2,NA,MJO,2680-83825,-:Wa,Y,N,Y,0,61.5,51,18.25,NA,NA,NA,7.35,NA,NA,NA
14,RE07M01,7,5,2017,LOON LAKE,49.15137,124.41486,NA,380,9:20:00 AM,TOWA,M,ASY,Y,0,NA,MJO,2680-83826,-:Ra,Y,N,N,0,65.5,50,19.05,NA,NA,NA,6.87,NA,NA,RESPONDED TO VICTORIA-BUZZY SONG; NO CP BUT SINGING ON TERRITORY (YES BREEDING)
15,RE07M02,7,5,2017,LOON LAKE,49.15188,124.41772,NA,385,11:17:00 AM,TOWA,M,AHY,Y,0,NA,MJO,2680-83827,-:Ba,Y,N,N,0,65.5,50,20.42,NA,NA,NA,7.36,NA,NA,"RESPONDED TO VICTORIA-BUZZY SONG; NO CP, SINGING ON A TERRITORY (YES BREEDING)"
16,RE08M01,8,5,2017,TOFINO,49.0365,125.40899,NA,48,7:00:00 AM,TOWA,M,SY,Y,0,NA,MJO,2680-83828,-:Ra,Y,N,Y,0,66,51,19.11,NA,NA,NA,6.78,NA,NA,RESPONDED TO TONFINO SONG
17,RE08M02,8,5,2017,TOFINO,49.03352,125.40611,NA,57,8:35:00 AM,TOWA,M,AHY,Y,0,NA,MJO,2680-83829,-:Ba,Y,N,Y,1,65,50,18.41,NA,NA,NA,7.19,NA,NA,NA
18,RE08M03,8,5,2017,TOFINO (OUTSIDE PACIFIC RIM PARK),49.0323,125.40509,NA,44,9:30:00 AM,TOWA,M,ASY,Y,1,NA,MJO,2680-83830,-:Wa,Y,N,Y,0,65.5,50,19.62,NA,NA,NA,8.26,NA,NA,RESPONDED TO TOFINO SONG
19,RE09M01,9,5,2017,TOFINO,49.03858,125.40052,NA,38,6:35:00 AM,TOWA,M,SY,Y,0,NA,MJO,2680-83831,-:Ga,Y,N,Y,0,68,49,18.74,NA,NA,NA,7.36,NA,NA,FEMALE TOWA FLEW UNDERNEATH MIST NET
20,RE09M02,9,5,2017,TOFINO,49.03802,125.40212,NA,38,7:20:00 AM,TOWA,M,ASY,Y,2,NA,MJO,2680-83832,-:Oa,Y,N,Y,0,65.5,51,18.15,NA,NA,NA,7.17,NA,NA,NA
21,RE09M03,9,5,2017,TOFINO,49.04107,125.39929,NA,66,8:10:00 AM,TOWA,M,SY,Y,1,NA,MJO,2680-83833,-:Ta,Y,N,Y,0,64.5,51,18.9,NA,NA,NA,7.44,NA,NA,BIRD RECORDED ON EVENING OF ARRIVAL IN TOFINO; BANDED MORNING OF DEPARTURE FROM TOFINO (WAS THE BIRD NEAR CAMPSITE)
22,RE10M01,10,5,2017,CAMPBELL RIVER LAKE,50.01127,125.22595,NA,197,7:15:00 AM,TOWA,M,ASY,Y,1,NA,MJO,2680-83834,-:Ra,Y,N,Y,0,65,51,18.14,NA,NA,NA,6.48,NA,NA,RESPONDED TO VICTORIA BUZZY
