,locations,song_order
1,./Nakusp,"SRE26M04, SRE26M05, SRE26M03, SRE26M01, SRE26M02"
2,./Bridesville,"SRE20M01, SRE19M03, SRE19M01, SRE20M02, SRE19M04, SRE20M03, SRE20M04, SRE20M05, SRE19M02,  AND SRE20M03"
3,./Clinton,"SRF27M06, SRF27M01, SRF28M01, SRF28M03, SRF28M04, SRF27M03, SRF27M05, SRF28M02, SRF27M04, SRF27M02"
4,./Clearwater,"SRE29M02, SRE28M04, SRE29M06, SRE29M03, SRE28M02, SRE28M01, SRE29M05, SRE29M09, SRE28M05, SRE29M01, SRE29M04, SRE28M03, SRE29M07, SRE29M08"
5,./Castlegar_Nelson,"SRE21M03, SRE21M01, SRE22M02, SRE22M03, SRE21M02, SRE21M04, SRE22M04, SRE21M06, SRE22M01, SRE21M05"
6,./Port_Alberni,"SRE07M06, SRE07M02, SRE07M08, SRE07M04, SRE07M05, SRE07M07, SRE07M01, SRE07M09, SRE07M03"
7,./Fraser_Lake,"SRF07M02, SRF07M03, SRF06M05, SRF06M06, SRF06M04, SRF07M04 + SRF07M05, SRF06M02, SRF06M01, SRF07M06, SRF07M01, SRF06M03"
8,./Kitimat,"SRF14M04, SRF14M02, SRF14M01, SRF14M03, SRF14M06, SRF14M05"
9,./Gitanyow,"SRF16M03, SRF16M04, SRF16M01, SRF16M02"
10,./Pacific_Spirit_Park,"SRE01M04, SRE01M05, SRE01M03, SRE01M06, SRE01M01, SRE01M02, SRE02M01, SRE04M01, SRE02M02"
11,./Houston,"SRF08M01, SRF08M07,  + SRF08M04, SRF08M10, SRF08M05, SRF08M03, SRF08M06, SRF08M09, SRF08M08,  + SRF08M02"
12,./Tatla_Lake,"SRF22M01, SRF22M02, SRF25M02, SRF22M03, SRF25M01"
13,./Campbell_River,"SRE10M17, SRE10M08, SRE10M15, SRE10M13, SRE10M06, SRE10M07, SRE10M09, SRE10M03, SRE10M12, SRE10M04,  + SRE10M05, SRE10M05, SRE10M11, SRE10M16, SRE10M10"
14,./Williams_Lake,SRF20M01
15,./Stewart,"SRF17M04, SRF17M03,  + SRF17M04, SRF17M01, SRF18M01, SRF18M04, SRF18M05, SRF18M02 +SRF18M03, SRF18M06, SRF17M05, SRF17M02, SRF17M06"
16,./Tofino,"SRE08M11, SRE09M02, SRE09M03, SRE08M10, SRE08M06, SRE07M10, SRE08M08, SRE08M04, SRE08M03, SRE09M04, SRE08M09, SRE09M01, SRE08M05, SRE08M01, SRE08M12, SRE08M07, SRE08M02"
17,./Pemberton,"SRF29M03, SRF30M01, SRF29M02, SRF29M01, SRF29M04, SRF30M02, SRF29M05"
18,./Squamish,"SRG02M01, SRG04M02, SRG02M02, SRG04M01,  +SRG02M05,  + SRG02M05, SRG02M03, SRG04M03, SRG02M04"
19,./Prince_Rupert,"SRF10M01, SRF10M03, SRF10M04, SRF10M06, SRF10M02, SRF10M07 + SRF10M08, SRF11M02, SRF11M01, SRF10M05, SRF11M03, SRF10M09"
20,./Bella_Coola,"SRF24M01, SRF24M05, SRF23M03, SRF24M04, SRF23M07, SRF23M01, SRF24M02, SRF24M03, SRF23M02"
21,./Fort_St_James,"SRF02M02, SRF05M01, SRF05M02"
22,./Cranbrook,"SRE25M03, SRE25M04, SRE25M02, SRE24M03, SRE24M01, SRE25M01, SRE24M02"
23,./Valemount,"SRE30M03, SRE31M03, SRE30M02, SRE31M02, SRE30M01, SRE31M01"
24,./Jordan_River,"SRE06M06, SRE06M03 + SRE06M04, SRE06M01, SRE06M05, SRE06M08, SRE06M07"
25,./Terrace,"SRF12M05, SRF12M02, SRF12M04, SRF12M03,  + SRF12M04, SRF12M01, SRF13M02, SRF13M04, SRF13M01, SRF13M03"
26,./Hope,"SRE17M09, SRE17M03, SRE17M06, SRE17M07, SRE18M04, SRE18M02, SRE18M03, SRE17M05, SRE17M08, SRE17M04, SRE18M01"
