"","Species","Song.ID","Date..MDY.","Time","Locality","GPS.coordinate.N","GPS.coordinate.W","Elevation..m.","Habitat.Type","X..Canopy.Cover","Dominant.Species","Tree.Size.Class","Understory.code","Est.dist.from.recorder","Background.species","Disturbance.in.recording.","Banded","Recorder.Initials","Number.of.files","Usable","songs.to.analyze","buzzy.or.clear","Notes"
"1","Setophaga townsendi","SRE01M01","5/1/2017","7:17:00 AM","PACIFIC SPIRIT PARK","49 15.328","123 13.514",100,"Conifer",90,"Western Hemlock (Tsuga heterophylla)",3,"6","15","RBNU","RECORDER","Yes","MJO",2,"yes (1)",NA,"clear","TRACKS 008 AND 010; TAKE TRAIL EAST, NEAR LARGE STUMP (CEDAR?) WITH SMALL TREE FROM THE TOP, W OF TRAIL, HOLE-Y SNAG ACROSS ON E SIDE OF TRAIL"
"2","Setophaga townsendi","SRE01M03","5/1/2017","8:04:00 AM","PACIFIC SPIRIT PARK","49 15.192","123 13.447",111,"Mixed Conifer/Hardwood",50,"Red Cedar (Thuga plicata), BIG LEAF MAPLE (ACER MACROPHYLLUM)",3,NA,"20","PSFL",NA,"No","MJO",1,"yes",NA,"buzzy","TRACK 012"
"3","Setophaga townsendi","SRE01M04","5/1/2017","8:10:00 AM","PACIFIC SPIRIT PARK","49 15.190","123 13.436",88,"Conifer",75,"Western Hemlock (Tsuga heterophylla)",3,NA,NA,"PUFI, PISI, BTYW, PAWR",NA,"No","MJO",3,"yes (1,2,3)",NA,"b/c","TRACKS 013, 014 AND 015; CONIFER ADJACENT TO HARDWOOD - W SIDE OF TRAIL IS HARDWOOD, E SIDE OF TRAIL IS CONIFER; FURTHER SOUTH FROM PREVIOUS TOWA (SRE01M03?) ON SALISH TRAIL, RIGHT AFTER BEND IN THE ROAD"
"4","Setophaga townsendi","SRE01M05","5/1/2017","8:43:00 AM","PACIFIC SPIRIT PARK","49 15.258","123 13.648",79,"Conifer",80,"Western Hemlock (Tsuga heterophylla)",3,"6","25",NA,"POSSIBLE TREE CUTTER, CONSTRUCTION, MACHINERY ","No","MJO",1,"yes",NA,"clear","TRACK 016; ON SWORD FERN TRAIL?, JUST N OF COUNCIL, RIGHT AFTER WOODEN BRIDGE"
"5","Setophaga townsendi","SRE01M06","5/1/2017","8:56:00 AM","PACIFIC SPIRIT PARK","49 15.303","123 13.715",108,"Conifer",75,"Western Hemlock (Tsuga heterophylla)",3,"5","15","PAWR","CONSTRUCTION, MACHINERY","No","MJO",1,"yes",NA,"clear","TRACK 017; ON SWORD FERN TRAIL AT BEND IN ROAD WITH LARGE CONIFER NEXT TO SHAG WITH LOGS STREWN AROUND BASE"
"6","Setophaga townsendi","SRE02M01","5/2/2017","7:56:00 AM","PACIFIC RIM PARK (NEAR SALISH TRAIL, IRON KNEE JUNCTION)","49 15.240","123 13.420",106,"Conifer",85,"Western Hemlock (Tsuga heterophylla)",3,"6","10",NA,NA,"No","MJO",2,"yes (1)",NA,"clear","TRACKS 18 AND 19"
"7","Setophaga townsendi","SRE02M02","5/2/2017","8:20:00 AM","PACIFIC SPIRIT PARK (JUNCTION OF SALISH AND SWORD FERN TRAILS)","49 15.428","123 13.585",109,"Conifer",75,"Western Hemlock (Tsuga heterophylla)",2,"6","25",NA,"AIRPLANE, CARS","No","LM",1,"yes",NA,"clear","TREE CLASS SIZE 2 AND 3 DOMINATE"
"8","Setophaga townsendi","SRE04M01","5/4/2017","9:57:00 AM","PACIFIC SPIRIT PARK","49 15.248","123 13.624",NA,"Conifer",75,"Western Hemlock (Tsuga heterophylla)",3,"6",NA,NA,"PEOPLE, DOGS, CONSTRUCTION","Yes","MJO",2,"yes (1,2)",NA,"clear","TRACKS 033 AND 034; RE04M01"
"9","Setophaga townsendi","SRE06M01","5/6/2017","6:00:00 AM","JORDAN RIVER","48 25.667","124 04.305",74,"Conifer",50,"Douglas Fir (Pseudotsuga menziesii)",3,"4","20","PAWR, AMRO, WIWA, VATH",NA,"No",NA,1,"yes (1,2)",NA,"clear","LOGGED AREA"
"10","Setophaga townsendi","SRE06M02","5/6/2017","6:15:00 AM","JORDAN RIVER (PETREL RD)","48 25.626","124 04.397",45,"Conifer",90,"Western Hemlock (Tsuga heterophylla)",3,"4","25","PSFL",NA,"No",NA,1,"",NA,"",NA
"11","Setophaga townsendi","SRE06M03","5/6/2017","6:32:00 AM","JORDAN RIVER (PETREL RD)","48 25.856","124 04.335",67,"Conifer",40,"Douglas Fir (Pseudotsuga menziesii)",2,"5","20","AMRO, PUFI, VATH, WIWA",NA,"No","MJO",1,"yes",NA,"clear","TRACK 1004; 2ND TOWA STARTS AFTER FOOTSTEPS - SRE06MO4"
"12","Setophaga townsendi","SRE06M04","5/6/2017","6:34:00 AM","JORDAN RIVER (PETREL RD)","48 25.828","124 04.340",66,"Conifer",40,"Douglas Fir (Pseudotsuga menziesii)",2,"5","10","AMRO, PUFI, VATH, WIWA",NA,"No",NA,1,"yes",NA,"clear","TRACK 1004"
