Species,Song.ID,Date..MDY.,Time,Locality,GPS.coordinate.N,GPS.coordinate.W,Elevation..m.,Habitat.Type,X..Canopy.Cover,Dominant.Species,Tree.Size.Class,Understory.code,Est.dist.from.recorder,Background.species,Disturbance.in.recording.,Stimulus,Banded,Recorder.Initials,Notes
Setophaga townsendi,SRE01M01,5/1/2017,7:17:00 AM,PACIFIC SPIRIT PARK,49 15.328,123 13.514,100,Conifer,90,Western Hemlock (Tsuga heterophylla),3,6,15,RBNU,RECORDER,Natural,Yes,MJO,"TRACKS 008 AND 010; TAKE TRAIL EAST, NEAR LARGE STUMP (CEDAR?) WITH SMALL TREE FROM THE TOP, W OF TRAIL, HOLE-Y SNAG ACROSS ON E SIDE OF TRAIL"
Setophaga townsendi,SRE01M02,5/1/2017,7:37:00 AM,PACIFIC SPIRIT PARK,49 15.215,123 13.440,94,Conifer,75,"Red Cedar (Thuga plicata), Western Hemlock (Tsuga heterophylla)",3,6,10,"PISI, PSFL, PAWR",RAIN,Natural,No,MJO,TRACK 011; TOWA HEARD SINGING HERE BUT ONLY CALL NOTES RECORDED; 2 BTYW HEARD SINGING NEARBY; FURTHER S DOWN TRAIL FROM SRE01M01 NEAR FLAT TOP SNAG FOLLOWED BY CRUMBLING SNAG WITH 2 PLANTS GROWING OUT OF TOP
Setophaga townsendi,SRE01M03,5/1/2017,8:04:00 AM,PACIFIC SPIRIT PARK,49 15.192,123 13.447,111,Mixed Conifer/Hardwood,50,"Red Cedar (Thuga plicata), BIG LEAF MAPLE (ACER MACROPHYLLUM)",3,NA,20,PSFL,NA,Natural,No,MJO,TRACK 012
Setophaga townsendi,SRE01M04,5/1/2017,8:10:00 AM,PACIFIC SPIRIT PARK,49 15.190,123 13.436,88,Conifer,75,Western Hemlock (Tsuga heterophylla),3,NA,NA,"PUFI, PISI, BTYW, PAWR",NA,Natural,No,MJO,"TRACKS 013, 014 AND 015; CONIFER ADJACENT TO HARDWOOD - W SIDE OF TRAIL IS HARDWOOD, E SIDE OF TRAIL IS CONIFER; FURTHER SOUTH FROM PREVIOUS TOWA (SRE01M03?) ON SALISH TRAIL, RIGHT AFTER BEND IN THE ROAD"
Setophaga townsendi,SRE01M05,5/1/2017,8:43:00 AM,PACIFIC SPIRIT PARK,49 15.258,123 13.648,79,Conifer,80,Western Hemlock (Tsuga heterophylla),3,6,25,NA,"POSSIBLE TREE CUTTER, CONSTRUCTION, MACHINERY ",Natural,No,MJO,"TRACK 016; ON SWORD FERN TRAIL?, JUST N OF COUNCIL, RIGHT AFTER WOODEN BRIDGE"
Setophaga townsendi,SRE01M06,5/1/2017,8:56:00 AM,PACIFIC SPIRIT PARK,49 15.303,123 13.715,108,Conifer,75,Western Hemlock (Tsuga heterophylla),3,5,15,PAWR,"CONSTRUCTION, MACHINERY",Natural,No,MJO,TRACK 017; ON SWORD FERN TRAIL AT BEND IN ROAD WITH LARGE CONIFER NEXT TO SHAG WITH LOGS STREWN AROUND BASE
Setophaga townsendi,SRE02M01,5/2/2017,7:56:00 AM,"PACIFIC RIM PARK (NEAR SALISH TRAIL, IRON KNEE JUNCTION)",49 15.240,123 13.420,106,Conifer,85,Western Hemlock (Tsuga heterophylla),3,6,10,NA,NA,Natural,No,MJO,TRACKS 18 AND 19
Setophaga townsendi,SRE02M02,5/2/2017,8:20:00 AM,PACIFIC SPIRIT PARK (JUNCTION OF SALISH AND SWORD FERN TRAILS),49 15.428,123 13.585,109,Conifer,75,Western Hemlock (Tsuga heterophylla),2,6,25,NA,"AIRPLANE, CARS",Natural,No,LM,TREE CLASS SIZE 2 AND 3 DOMINATE
Setophaga townsendi,SRE04M01,5/4/2017,9:57:00 AM,PACIFIC SPIRIT PARK,49 15.248,123 13.624,NA,Conifer,75,Western Hemlock (Tsuga heterophylla),3,6,NA,NA,"PEOPLE, DOGS, CONSTRUCTION",Natural,Yes,MJO,TRACKS 033 AND 034; RE04M01
Setophaga townsendi,SRE06M01,5/6/2017,6:00:00 AM,JORDAN RIVER,48 25.667,124 04.305,74,Conifer,50,Douglas Fir (Pseudotsuga menziesii),3,4,20,"PAWR, AMRO, WIWA, VATH",NA,Natural,No,NA,LOGGED AREA
Setophaga townsendi,SRE06M02,5/6/2017,6:15:00 AM,JORDAN RIVER (PETREL RD),48 25.626,124 04.397,45,Conifer,90,Western Hemlock (Tsuga heterophylla),3,4,25,PSFL,NA,Natural,No,NA,NA
Setophaga townsendi,SRE06M03,5/6/2017,6:32:00 AM,JORDAN RIVER (PETREL RD),48 25.856,124 04.335,67,Conifer,40,Douglas Fir (Pseudotsuga menziesii),2,5,20,"AMRO, PUFI, VATH, WIWA",NA,Natural,No,MJO,TRACK 1004; 2ND TOWA STARTS AFTER FOOTSTEPS - SRE06MO4
Setophaga townsendi,SRE06M04,5/6/2017,6:34:00 AM,JORDAN RIVER (PETREL RD),48 25.828,124 04.340,66,Conifer,40,Douglas Fir (Pseudotsuga menziesii),2,5,10,"AMRO, PUFI, VATH, WIWA",NA,Natural,No,NA,TRACK 1004
Setophaga townsendi,SRE06M05,5/6/2017,7:18:00 AM,JORDAN RIVER,48 26.254,124 04.695,94,Mixed Conifer/Hardwood,90,"Douglas Fir (Pseudotsuga menziesii), Western Hemlock (Tsuga heterophylla), RED ALDER (ALNUS RUBRA)",3,4,20,NA,NA,Natural,Yes,NA,TRACK 1005; RE06M01
Setophaga townsendi,SRE06M06,5/6/2017,8:55:00 AM,JORDAN RIVER (OFF OF HIGHWAY 14),48 26.475,124 06.562,145,Conifer,95,"Red Cedar (Thuga plicata), Sitka Spruce (Picea sitchensis)",3,4,15,"HUVI, WIWA",TRAFFIC,Natural,Yes,NA,NA
Setophaga townsendi,SRE06M07,5/6/2017,10:14:00 AM,JORDAN RIVER (OFF OF HIGHWAY 14),48 26.646,127 07.069,146,Conifer,90,"Western Hemlock (Tsuga heterophylla), Sitka Spruce (Picea sitchensis)",3,6,15,WIWA,TRAFFIC,Natural,Yes,NA,2ND TOWA SINGING IN DISTANCE IS SRE06M08; TRACKS 46 AND 47
Setophaga townsendi,SRE06M08,5/6/2017,10:21:00 AM,JORDAN RIVER (OFF OF HIGHWAY 14),48 26.641,124 07.045,147,Conifer,90,"Western Hemlock (Tsuga heterophylla), Sitka Spruce (Picea sitchensis)",3,6,20,"GCKL, CBCH",TRAFFIC,Natural,No,NA,CHIRPING FROM CANOPY WHILE FORAGING; GPS WAYPOINT 004; TRACK 48
Setophaga townsendi,SRE07M01,5/7/2017,6:22:00 AM,LOON LAKE,49 15.270,124 41.971,393,Conifer,60,Douglas Fir (Pseudotsuga menziesii),2,5,25,"PAWR, HAFL, WETA, BARO, MGWA, BTPI, YRWA","TRAFFIC, OBSERVER",Natural,No,MJO,TRACK 50 AND 51 (6:30am); RTHA NEAR RECORDING SITE (TOWA STOPPED SINGING THEN RESUMED)
Setophaga townsendi,SRE07M02,5/7/2017,7:18:00 AM,LOON LAKE,49 15.254,124 41.944,375,Conifer,60,Douglas Fir (Pseudotsuga menziesii),3,5,30,"WCSP, SOSP, AMRO, HAFL, WETA",NA,Natural,No,NA,NA
Setophaga townsendi,SRE07M03,5/7/2017,7:10:00 AM,LOON LAKE,49 15.220,124 41.757,392,Conifer,70,Red Cedar (Thuga plicata),2,2,15,"PUFI, RBSA, WETA, WCSP",NA,Natural,Yes,NA,TRACK 52?; TERRITORY ADJACENT TO A CLEARCUT
Setophaga townsendi,SRE07M04,5/7/2017,7:42:00 AM,LOON LAKE,49 15.160,124 41.643,412,Conifer,75,Western Hemlock (Tsuga heterophylla),2,2,10,"PAWR, WETA, SOSP",NA,Natural,No,NA,TRACK 053; 2ND TOWA SINGING IN DISTANCE
Setophaga townsendi,SRE07M05,5/7/2017,7:46:00 AM,LOON LAKE,49 15.145,124 41.627,388,Conifer,80,Douglas Fir (Pseudotsuga menziesii),2,2,25,"AMRO, BAEA, PISI, PAWR, RWBL, SOSP",NA,Natural,No,NA,TRACK 1009
Setophaga townsendi,SRE07M06,5/7/2017,8:08,LOON LAKE,49 15.165,124 41.551,384,Conifer,70,"Douglas Fir (Pseudotsuga menziesii), Red Cedar (Thuga plicata)",2,2,10-25,"PSFL, AMRO, HAFL, RBSA, PAWR",NA,Natural,No,NA,TRACK 1010; STARTED CLOSE THEN FLEW TO DIFFERENT PART OF TERRITORY
