Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	1.069288264	2.790373757	4429.8	8278.3
1	Spectrogram 1	1	1.069288264	2.790373757	4429.8	8278.3
2	Waveform 1	1	9.577715007	10.923910591	3396.9	8383.2
2	Spectrogram 1	1	9.577715007	10.923910591	3396.9	8383.2
3	Waveform 1	1	16.948993947	18.440033359	3038.4	8057.3
3	Spectrogram 1	1	16.948993947	18.440033359	3038.4	8057.3
4	Waveform 1	1	24.721417944	26.075752941	3559.8	7992.1
4	Spectrogram 1	1	24.721417944	26.075752941	3559.8	7992.1
5	Waveform 1	1	32.688847801	34.090327370	3429.5	7992.1
5	Spectrogram 1	1	32.688847801	34.090327370	3429.5	7992.1
6	Waveform 1	1	41.572114910	43.130028743	3364.3	8187.7
6	Spectrogram 1	1	41.572114910	43.130028743	3364.3	8187.7
7	Waveform 1	1	50.425840795	51.550881734	3722.8	8024.7
7	Spectrogram 1	1	50.425840795	51.550881734	3722.8	8024.7
8	Waveform 1	1	59.243632203	60.525107405	3657.6	7829.2
8	Spectrogram 1	1	59.243632203	60.525107405	3657.6	7829.2
9	Waveform 1	1	68.612544321	69.973308122	3690.2	8122.5
9	Spectrogram 1	1	68.612544321	69.973308122	3690.2	8122.5
10	Waveform 1	1	77.287145484	78.875060409	3494.7	8024.7
10	Spectrogram 1	1	77.287145484	78.875060409	3494.7	8024.7
11	Waveform 1	1	87.114645561	88.471123493	3820.6	7633.6
11	Spectrogram 1	1	87.114645561	88.471123493	3820.6	7633.6
12	Waveform 1	1	96.004636611	97.521834676	4179.1	8024.7
12	Spectrogram 1	1	96.004636611	97.521834676	4179.1	8024.7
13	Waveform 1	1	105.082545203	106.404736172	4048.7	8187.7
13	Spectrogram 1	1	105.082545203	106.404736172	4048.7	8187.7
14	Waveform 1	1	116.480788784	117.777264533	4016.1	8089.9
14	Spectrogram 1	1	116.480788784	117.777264533	4016.1	8089.9
15	Waveform 1	1	125.902887897	126.935782625	3429.5	8089.9
15	Spectrogram 1	1	125.902887897	126.935782625	3429.5	8089.9
16	Waveform 1	1	134.097408353	135.451743349	3885.8	7894.4
16	Spectrogram 1	1	134.097408353	135.451743349	3885.8	7894.4
17	Waveform 1	1	144.102561516	145.486897604	3625.0	8122.5
17	Spectrogram 1	1	144.102561516	145.486897604	3625.0	8122.5
18	Waveform 1	1	152.515675139	153.897868292	3364.3	8350.6
18	Spectrogram 1	1	152.515675139	153.897868292	3364.3	8350.6
19	Waveform 1	1	161.487757876	162.792805364	3820.6	8057.3
19	Spectrogram 1	1	161.487757876	162.792805364	3820.6	8057.3
20	Waveform 1	1	170.287893152	171.802948282	3755.4	8122.5
20	Spectrogram 1	1	170.287893152	171.802948282	3755.4	8122.5
21	Waveform 1	1	183.254947832	184.568567061	4081.3	8187.7
21	Spectrogram 1	1	183.254947832	184.568567061	4081.3	8187.7
22	Waveform 1	1	192.658146696	194.006052887	3396.9	8024.7
22	Spectrogram 1	1	192.658146696	194.006052887	3396.9	8024.7
