Timestamp,Song ID,Date,Time,Banded,Locality,GPS coordinate North,GPS coordinate West,Elevation (m),Habitat Type,Dominant Species,% Canopy Cover,Tree Size Class,Understory ,Estimated distance from record (m),Disturbance in recording?,Background species,Initials of Recorder,Notes
5/11/2017 13:43:16,SRE01M01,5/1/2017,7:17:00 AM,Yes,PACIFIC SPIRIT PARK,49*15.328,123*13.514,100,Conifer,Western Hemlock (Tsuga heterophylla),90,3,6,15,RECORDER,RBNU,MJO,"TRACKS 008 AND 010; TAKE TRAIL EAST, NEAR LARGE STUMP (CEDAR?) WITH SMALL TREE FROM THE TOP, W OF TRAIL, HOLE-Y SNAG ACROSS ON E SIDE OF TRAIL"
5/11/2017 13:47:29,SRE01M02,5/1/2017,7:37:00 AM,No,PACIFIC SPIRIT PARK,49*15.215,123*13.440,94,Conifer,"Red Cedar (Thuga plicata), Western Hemlock (Tsuga heterophylla)",75,3,6,10,RAIN,"PISI, PSFL, PAWR",MJO,TRACK 011; TOWA HEARD SINGING HERE BUT ONLY CALL NOTES RECORDED; 2 BTYW HEARD SINGING NEARBY; FURTHER S DOWN TRAIL FROM SRE01M01 NEAR FLAT TOP SNAG FOLLOWED BY CRUMBLING SNAG WITH 2 PLANTS GROWING OUT OF TOP
5/11/2017 13:39:04,SRE01M03,5/1/2017,8:04:00 AM,No,PACIFIC SPIRIT PARK,49*15.192,123*13.447,111,Mixed Conifer/Hardwood,"Red Cedar (Thuga plicata), BIG LEAF MAPLE (ACER MACROPHYLLUM)",50,3,,20,,PSFL,MJO,TRACK 012
5/11/2017 13:36:08,SRE01M04,5/1/2017,8:10:00 AM,No,PACIFIC SPIRIT PARK,49*15.190,123*13.436,88,Conifer,Western Hemlock (Tsuga heterophylla),75,3,,,,"PUFI, PISI, BTYW, PAWR",MJO,"TRACKS 013, 014 AND 015; CONIFER ADJACENT TO HARDWOOD - W SIDE OF TRAIL IS HARDWOOD, E SIDE OF TRAIL IS CONIFER; FURTHER SOUTH FROM PREVIOUS TOWA (SRE01M03?) ON SALISH TRAIL, RIGHT AFTER BEND IN THE ROAD"
5/11/2017 13:26:46,SRE01M05,5/1/2017,8:43:00 AM,No,PACIFIC SPIRIT PARK,49*15.258,123*13.648,79,Conifer,Western Hemlock (Tsuga heterophylla),80,3,6,25,"POSSIBLE TREE CUTTER, CONSTRUCTION, MACHINERY ",,MJO,"TRACK 016; ON SWORD FERN TRAIL?, JUST N OF COUNCIL, RIGHT AFTER WOODEN BRIDGE"
5/11/2017 13:30:17,SRE01M06,5/1/2017,8:56:00 AM,No,PACIFIC SPIRIT PARK,49*15.303,123*13.715,108,Conifer,Western Hemlock (Tsuga heterophylla),75,3,5,15,"CONSTRUCTION, MACHINERY",PAWR,MJO,TRACK 017; ON SWORD FERN TRAIL AT BEND IN ROAD WITH LARGE CONIFER NEXT TO SHAG WITH LOGS STREWN AROUND BASE
5/11/2017 13:14:55,SRE02M01,5/2/2017,7:56:00 AM,No,"PACIFIC RIM PARK (NEAR SALISH TRAIL, IRON KNEE JUNCTION)",49*15.240,123*13.420,106,Conifer,Western Hemlock (Tsuga heterophylla),85,3,6,10,,,MJO,TRACKS 18 AND 19
5/11/2017 13:23:11,SRE02M02,5/2/2017,8:20:00 AM,No,PACIFIC SPIRIT PARK (JUNCTION OF SALISH AND SWORD FERN TRAILS),49*15.428,123*13.585,109,Conifer,Western Hemlock (Tsuga heterophylla),75,2,6,25,"AIRPLANE, CARS",,LM,TREE CLASS SIZE 2 AND 3 DOMINATE
5/11/2017 13:10:31,SRE04M01,5/4/2017,9:57:00 AM,Yes,PACIFIC SPIRIT PARK,49*15.248,123*13.624,,Conifer,Western Hemlock (Tsuga heterophylla),75,3,6,,"PEOPLE, DOGS, CONSTRUCTION",,MJO,TRACKS 033 AND 034; RE04M01
5/11/2017 13:05:28,SRE06M01,5/6/2017,6:00:00 AM,No,JORDAN RIVER,48*25.667,124*04.305,74,Conifer,Douglas Fir (Pseudotsuga menziesii),50,3,4,20,,"PAWR, AMRO, WIWA, VATH",,LOGGED AREA
5/11/2017 13:07:44,SRE06M02,5/6/2017,6:15:00 AM,No,JORDAN RIVER (PETREL RD),48*25.626,124*04.397,45,Conifer,Western Hemlock (Tsuga heterophylla),90,3,4,25,,PSFL,,
5/11/2017 12:49:33,SRE06M03,5/6/2017,6:32:00 AM,No,JORDAN RIVER (PETREL RD),48*25.856,124*04.335,67,Conifer,Douglas Fir (Pseudotsuga menziesii),40,2,5,20,,"AMRO, PUFI, VATH, WIWA",MJO,TRACK 1004; 2ND TOWA STARTS AFTER FOOTSTEPS - SRE06MO4
5/11/2017 13:01:49,SRE06M04,5/6/2017,6:34:00 AM,No,JORDAN RIVER (PETREL RD),48*25.828,124*04.340,66,Conifer,Douglas Fir (Pseudotsuga menziesii),40,2,5,10,,"AMRO, PUFI, VATH, WIWA",,TRACK 1004
5/11/2017 12:45:17,SRE06M05,5/6/2017,7:18:00 AM,Yes,JORDAN RIVER,48*26.254,124*04.695,94,Mixed Conifer/Hardwood,"Douglas Fir (Pseudotsuga menziesii), Western Hemlock (Tsuga heterophylla), RED ALDER (ALNUS RUBRA)",90,3,4,20,,,,TRACK 1005; RE06M01
5/11/2017 11:51:10,SRE06M06,5/6/2017,8:55:00 AM,Yes,JORDAN RIVER (OFF OF HIGHWAY 14),48*26.475,124*06.562,145,Conifer,"Red Cedar (Thuga plicata), Sitka Spruce (Picea sitchensis)",95,3,4,15,TRAFFIC,"HUVI, WIWA",,
5/11/2017 11:55:53,SRE06M07,5/6/2017,10:14:00 AM,Yes,JORDAN RIVER (OFF OF HIGHWAY 14),48*26.646,127*07.069,146,Conifer,"Western Hemlock (Tsuga heterophylla), Sitka Spruce (Picea sitchensis)",90,3,6,15,TRAFFIC,WIWA,,2ND TOWA SINGING IN DISTANCE IS SRE06M08; TRACKS 46 AND 47
5/11/2017 12:03:59,SRE06M08,5/6/2017,10:21:00 AM,No,JORDAN RIVER (OFF OF HIGHWAY 14),48*26.641,124*07.045,147,Conifer,"Western Hemlock (Tsuga heterophylla), Sitka Spruce (Picea sitchensis)",90,3,6,20,TRAFFIC,"GCKL, CBCH",,CHIRPING FROM CANOPY WHILE FORAGING; GPS WAYPOINT 004; TRACK 48
5/11/2017 14:06:18,SRE07M01,5/7/2017,6:22:00 AM,No,LOON LAKE,49*15.270,124*41.971,393,Conifer,Douglas Fir (Pseudotsuga menziesii),60,2,5,25,"TRAFFIC, OBSERVER","PAWR, HAFL, WETA, BARO, MGWA, BTPI, YRWA",MJO,TRACK 50 AND 51 (6:30am); RTHA NEAR RECORDING SITE (TOWA STOPPED SINGING THEN RESUMED)
5/11/2017 14:08:58,SRE07M02,5/7/2017,7:18:00 AM,No,LOON LAKE,49*15.254,124*41.944,375,Conifer,Douglas Fir (Pseudotsuga menziesii),60,3,5,30,,"WCSP, SOSP, AMRO, HAFL, WETA",,
5/11/2017 14:11:17,SRE07M03,5/7/2017,7:10:00 AM,Yes,LOON LAKE,49*15.220,124*41.757,392,Conifer,Red Cedar (Thuga plicata),70,2,2,15,,"PUFI, RBSA, WETA, WCSP",,TRACK 52?; TERRITORY ADJACENT TO A CLEARCUT
5/11/2017 14:15:13,SRE07M04,5/7/2017,7:42:00 AM,No,LOON LAKE,49*15.160,124*41.643,412,Conifer,Western Hemlock (Tsuga heterophylla),75,2,2,10,,"PAWR, WETA, SOSP",,TRACK 053; 2ND TOWA SINGING IN DISTANCE
5/11/2017 14:00:38,SRE07M05,5/7/2017,7:46:00 AM,No,LOON LAKE,49*15.145,124*41.627,388,Conifer,Douglas Fir (Pseudotsuga menziesii),80,2,2,25,,"AMRO, BAEA, PISI, PAWR, RWBL, SOSP",,TRACK 1009
