Species,Song ID,Date (MDY),Time,Locality,GPS coordinate N,GPS coordinate W,Elevationv (m),Habitat Type,% Canopy cover,Dominant Species,Tree class Size,Understory code,Est dist from recorder,Background spp,Disturbance in recording?,Natural or Playback?,Banded?,Recorder Initials,Notes
BTYW,SRE17M01,5/17/2017,6:47,Silver Skagit Rd,49*19.227,121*25.592,350,Mixed Conifer and Hardwood,,"Red Cedar, Red Alder",3,6,20,,River,Natural,N,MJO,
BTYW,SRE17M02,5/17/2017,7:40,Silver Skagit Rd,49*19.456,121*25.127,327,Mixed Conifer and Hardwood,60,Red Cedar,2,6,20,PAWR,Traffic,Natural,N,MJO,
TOWA,SRE17M03,5/17/2017,8:20,Silver Skagit Rd,49*18.402,121*24.334,390,Mixed Conifer and Hardwood,40,Red Alder,3,6,10,"EVGR, NOFL, CAVI, WIWA, SOGR",,Natural,N,MJO,"saw at least 2 males and 2 females, singing and feeding from an Alder. Probably a flock on migration?"
TOWA,SRE17M04,5/17/2017,8:48,Silver Skagit Rd,49*18.208,121*24.028,378,Mixed Conifer and Hardwood,50,"Red Cedar, Red Alder",2,5,20,BTYW,,Natural,N,MJO,
TOWA,SRE17M05,5/17/2017,9:05,Silver Skagit Rd,49*17.808,121*23.964,366,Mixed Conifer and Hardwood,75,Red Cedar,2,4,15,"AMRO, CAVI, WAVI, BTYW",,Natural,N,MJO,
BTYW,SRE17M06,5/17/2017,9:20,Silver Skagit Rd,49*17.607,121*23.942,381,Conifer,,Red Cedar,3,6,,,,Natural,N,MJO,
TOWA,SRE17M07,5/17/2017,9:55,Silver Skagit Rd,49*13.017,121*22.979,494,Conifer,80,Red Cedar,3,4,5,"BTYW, PISI",River,Natural,N,MJO,
TOWA,SRE17M08,5/17/2017,10:17,Silver Skagit Rd,49*12.880,121*23.312,534,Conifer,60,"Douglas Fir, Red Cedar",2,3,25,"HAFL, BTYW","River, Plane",Natural,N,MJO,
TOWA,SRE17M09,5/17/2017,10:35,Silver Skagit Rd,49*13.085,121*22.465,461,Conifer,80,Douglas Fir,2,4,15,"PISI, YRWA, BTYW, HAFL",,Natural,N,MJO,
TOWA,SRE18M01,5/18/2017,8:20,"Sumallo FS Rd, Sunshine Valley",49*13.567,121*14.081,884,Conifer,90,Douglas Fir,2,2,10,,River,Natural,N,MJO,buzzy song
TOWA,SRE18M02,5/18/2017,9:00,"Sumallo FS Rd, Sunshine Valley",49*13.325,121*14.121,906,Conifer,,Douglas Fir,3,3,20,,stream,Natural,Y,LIMM,"in open spot, dense trees around"
TOWA,SRE18M03,5/18/2017,9:15,"Sumallo FS Rd, Sunshine Valley",49*13.386,121*14.122,900,Conifer,95,Douglas Fir,3,2,10,"YRWA, SWTH",River,Natural,N,MJO,
TOWA,SRE18M04,5/18/2017,10:30,"Sumallo FS Rd, Sunshine Valley",49*13.877,121*14.006,901,Conifer,70,Douglas Fir,3,2,15,PISI,"River, wind",Natural,N,,
TOWA,SRE25M02,5/25/2017,8:10,"Fassifern FSR, Cranbrook",49 30.617',115 53.137',1408,Conifer,40,Douglas Fir,3,"3, 5",10,,,Natural,N,MJO,buzzy and clear songs
TOWA,SRE25M03,5/25/2017,9:10,"Fassifern FSR, Cranbrook",49 30.445',115 53.130',1394,Conifer,70,Douglas Fir,2,3,15,PAWR,stream,Natural,N ,MJO,
TOWA,SRE25M04,5/25/2017,9:30,"Fassifern FSR, Cranbrook",49 30.293',115 52.335',1320,Conifer,60,Western Larch,2,5,10,"CORA, WETA, RCKI",,Natural,Y,MJO,can hear SRE25M01 in distance
TOWA,SRE26M01,5/26/2017,6:30,"Wilson Lake FSR, Nakusp",50 14.649',117 40.967',1043,Conifer,95,Western Hemlock,2,2,15,GCKI,,Natural,N,MJO,
TOWA,SRE26M02,5/26/2017,7:05,"Wilson Lake FSR, Nakusp",50 14.471',117 40.514',1009,Conifer,90,Western Hemlock,2,5,15,PISI,,Natural,Y,MJO,
TOWA,SRE26M03,5/26/2017,8:00,"Wilson Lake FSR, Nakusp",50 14.527',117 40.265',1008,Conifer,80,Western Hemlock,2,3,20,"VATH, CAVI",stream,Natural,Y,MJO,
TOWA,SRE26M04,5/26/2017,9:00,"Wilson Lake FSR, Nakusp",50 14.435',117 40.021',1015,Conifer,,Western Hemlock,2,2,10-30',"CAVI, YEWA",stream,Natural,Y,MJO,
TOWA,SRE26M05,5/26/2017,10:00,"Wilson Lake FSR, Nakusp",50 14.692',117 39.783',1030,Conifer,,Red Cedar,2,3,15,,creek,Natural,Y,MJO,
TOWA,SRE28M01,5/28/2017,7:00,"Spahats FSR, Clearwater",51 04.592,119 59.881,858,Conifer,80,Red Cedar,3,5,15,,,Natural,Y,MJO,
